Year,Mean,Open,High,Low,Close,Variation,Amplitude,Drowup,Drawdown
2025,42271.30,42392.27,44882.13,37645.59,42654.74,0.26,19,6,-11
2024,40323.13,37715.04,45014.04,37266.67,42544.22,12.88,21,19,-1
2023,34121.54,33136.37,37710.10,31819.14,37689.54,13.70,19,14,-4
2022,32898.34,36585.06,36799.65,28725.51,33147.25,-8.78,28,1,-21
2021,34055.29,30223.89,36488.63,29982.62,36338.30,18.73,22,21,-1
2020,26890.67,28868.80,30606.48,18591.93,30606.48,7.25,65,6,-36
2019,26379.59,23346.24,28645.26,22686.22,28538.44,22.34,26,23,-3
2018,25046.86,24824.01,26828.39,21792.20,23327.46,-5.63,23,8,-12
2017,21750.20,19881.76,24837.51,19732.40,24719.22,25.08,26,25,-1
2016,17927.11,17148.94,19974.62,15660.18,19762.60,13.42,28,16,-9
2015,17587.03,17832.99,18312.39,15666.44,17425.03,-2.23,17,3,-12
2014,16777.69,16441.35,18053.71,15372.80,17823.07,7.52,17,10,-6
2013,15009.52,13412.55,16576.66,13328.85,16576.66,26.50,24,24,-1
2012,12966.44,12397.38,13610.15,12101.46,13104.14,7.26,12,10,-2
2011,11957.57,11670.75,12810.54,10655.30,12217.56,5.53,20,10,-9
2010,10668.58,10583.96,11585.38,9686.48,11577.51,11.02,20,9,-8
2009,8885.65,9034.69,10548.51,6547.05,10428.05,18.82,61,17,-28
2008,11244.06,13043.96,13058.20,7552.29,8776.39,-33.84,73,0,-42
2007,13178.26,12474.52,14164.53,12050.41,13264.82,6.43,18,14,-3
2006,11409.78,10847.41,12510.57,10667.39,12463.15,16.29,17,15,-2
2005,10546.66,10729.43,10940.55,10012.36,10717.50,-0.61,9,2,-7
2004,10315.51,10409.85,10854.54,9749.99,10783.01,3.15,11,4,-6
1990,2679.45,2810.15,2999.75,2365.10,2633.66,-4.34,27,7,-16
1989,2510.33,2144.64,2791.41,2144.64,2753.20,26.96,30,30,0
1988,2061.48,2015.25,2183.50,1879.14,2168.57,11.85,16,8,-7
1987,2277.53,1927.31,2722.42,1738.74,1938.83,2.26,57,41,-10
1986,1793.10,1537.73,1955.57,1502.29,1895.95,22.58,30,27,-2
1985,1327.99,1198.87,1553.10,1184.96,1546.67,27.66,31,30,-1
1984,1178.59,1252.74,1286.64,1086.57,1211.57,-3.74,18,3,-13
1983,1190.78,1027.04,1287.20,1027.04,1258.64,20.27,25,25,0
1982884.53882.52,1070.55,776.92,1046.54,19.60,38,21,-12
1981932.95972.78,1024.05,824.01875-9.23,24,5,-15
1980891.14824.57,1000.17,759.13963.9914.93,32,21,-8
1979844.38811.42897.61796.67838.744.19,13,11,-2
1978821.13817.74907.74742.12805.01-3.15,22,11,-9
1977894.37999.75999.75800.85831.17-17.27,25,0,-20
1976975.2858.71,1014.79,858.71,1004.65,17.86,18,18,0
1975802.89632.04881.81632.04852.4138.32,40,40,0
1974759.13855.32891.66577.6616.24-27.57,54,4,-32
1973924.07,1031.68,1051.70,788.31850.86-16.58,33,2,-24
1972950.08889.3,1036.27,889.15,1020.02,14.58,17,17,0
1971884.87830.57950.82797.97890.26.11,19,14,-4
1970753.12809.2842631.16838.924.82,33,4,-22
1969875.72947.73968.85769.93800.36-15.19,26,2,-19
1968903.96906.84985.21825.13943.754.27,19,9,-9
1967879.48786.41943.08786.41905.1115.20,20,20,0
1966872.78968.54995.15744.32785.69-18.94,34,3,-23
1965910.7869.78969.26840.59969.2610.88,15,11,-3
1950216.28198.89235.47196.81235.4117.63,20,18,-1
1949179.67175.03200.52161.6200.1312.88,24,15,-8
1948179.78181.04193.16165.39177.3-2.13,17,7,-9
1947177.48176.39186.85163.21181.162.23,14,6,-7
1946191.52191.66212.5163.12177.2-8.14,30,11,-15
1945169.66152.58195.82151.35192.9126.65,29,28,-1
1944143.32135.92152.53134.22152.3212.09,14,12,-1
1943134.92119.93145.82119.26135.8913.81,22,22,-1
1942107.15112.77119.7192.92119.47.61,29,6,-18
1941121.93130.57133.59106.34110.96-15.38,26,2,-19
1940134.64151.43152.8111.84131.13-12.72,37,1,-26
1938132.36120.57158.4198.95154.7628.06,60,31,-18
1937166.45178.52194.4113.64120.85-32.82,71,9,-36
1936162.07144.13184.9143.11179.924.82,29,28,-1
1935120.35104.51148.4496.71144.1338.53,53,42,-7
193498.16100.36110.7485.51104.044.14,30,10,-15
193384.559.29108.6750.1699.966.69,117,83,-15
193264.5374.6288.7841.2259.93-23.07,115,19,-45
1931138.6169.84194.3673.7977.9-52.67,163,14,-57
1930236.04244.2294.07157.51164.58-33.77,87,20,-35
1929313.54307.01381.17198.69248.48-17.17,92,24,-35
1928226.17203.35300191.3330049.48,57,48,-6
1927176.07155.16200.93152.73200.727.67,32,29,-2
1926153131.08168.14133.2157.24.05,26,28,2
1925134.4121.25159.39115151.0825.37,39,31,-5
192499.6595.65120.5188.33120.5126.16,36,26,-8
192394.8798.77105.3885.9195.52-2.70,23,7,-13
192293.2478.91102.7678.5998.1721.50,31,30,0
192173.3972.6781.563.980.812.30,28,12,-12
192090.01107.23108.8566.7571.95-32.90,63,2,-38
191999.7982.6119.6279.35107.2330.45,51,45,-4
191880.9776.6889.0773.3882.210.51,21,16,-4
191787.8796.1599.1865.9574.38-21.71,50,3,-31
191695.2798.81110.1586.4295-4.19,27,11,-13
191574.4554.6399.2154.2299.1581.49,83,82,-1
