Date,Open,High,Low,Close,TickVolume,EMA12,EMA26,SMA20,SMA200
2012-01-03,12221,12479,12221,12397,34074,12175.33,12054.82,12097.3,11949.23
2012-01-04,12392,12430,12337,12418,15955,12212.66,12081.72,12113.3,11951.14
2012-01-05,12418,12436,12283,12415,30145,12243.79,12106.41,12126.55,11953.12
2012-01-06,12407,12415,12332,12359,11814,12261.52,12125.12,12134.7,11954.49
2012-01-09,12359,12409,12334,12392,11709,12281.59,12144.89,12154.4,11955.59
2012-01-10,12395,12515,12395,12463,17241,12309.5,12168.45,12168.35,11956.8
2012-01-11,12460,12463,12399,12450,11708,12331.11,12189.31,12189.8,11958.06
2012-01-12,12450,12484,12385,12471,17614,12352.64,12210.17,12215.6,11959.02
2012-01-13,12470,12470,12312,12422,26877,12363.31,12225.87,12245.5,11959.38
2012-01-17,12423,12574,12423,12482,24212,12381.57,12244.84,12276.15,11960.19
2012-01-18,12475,12583,12454,12579,15391,12411.94,12269.59,12311.8,11961.2
2012-01-19,12578,12626,12563,12624,7866,12444.57,12295.84,12354.65,11962.32
2012-01-20,12624,12721,12621,12721,10280,12487.09,12327.34,12385.55,11963.95
2012-01-23,12720,12764,12666,12709,18590,12521.23,12355.61,12415.65,11965.36
2012-01-24,12708,12708,12613,12675,15735,12544.89,12379.27,12440.9,11966.69
2012-01-25,12674,12779,12580,12757,31296,12577.52,12407.25,12464.05,11968.58
2012-01-26,12757,12842,12695,12734,27089,12601.6,12431.45,12486.2,11970.34
2012-01-27,12734,12734,12631,12661,13298,12610.73,12448.45,12511.65,11972.33
2012-01-30,12659,12659,12529,12654,25438,12617.39,12463.68,12530,11974.25
2012-01-31,12655,12720,12568,12633,28368,12619.79,12476.22,12550.8,11975.99
2012-02-01,12633,12785,12633,12717,22003,12634.75,12494.06,12566.8,11977.87
2012-02-02,12717,12742,12677,12706,12056,12645.71,12509.76,12581.2,11980.39
2012-02-03,12705,12870,12705,12862,17280,12678.98,12535.85,12603.55,11983.37
2012-02-06,12861,12861,12794,12845,11914,12704.53,12558.75,12627.85,11985.32
2012-02-07,12844,12903,12782,12878,20846,12731.21,12582.4,12652.15,11987.18
2012-02-08,12866,12894,12818,12884,13375,12754.72,12604.74,12673.2,11989.2
2012-02-09,12884,12924,12846,12890,15056,12775.53,12625.87,12695.2,11990.67
2012-02-10,12890,12890,12744,12802,20383,12779.6,12638.92,12711.75,11991.23
2012-02-13,12799,12888,12799,12874,10272,12794.13,12656.33,12734.35,11991.78
2012-02-14,12872,12879,12787,12879,17740,12807.18,12672.82,12754.2,11992.13
2012-02-15,12865,12900,12754,12781,20801,12803.16,12680.84,12764.3,11992
