Year,Mean,Open,High,Low,Close,Variation,Amplitude,Drawup,Drawdown
2025,42271.3,42392.27,44882.13,37645.59,42654.74,0.0026,0.1922,0.0587,-0.1261
2024,40323.13,37715.04,45014.04,37266.67,42544.22,0.1288,0.2079,0.1935,-0.012
2023,34121.54,33136.37,37710.1,31819.14,37689.54,0.137,0.1851,0.138,-0.0414
2022,32898.34,36585.06,36799.65,28725.51,33147.25,-0.0878,0.2811,0.0059,-0.2736
2021,34055.29,30223.89,36488.63,29982.62,36338.3,0.1873,0.217,0.2073,-0.008
2020,26890.67,28868.8,30606.48,18591.93,30606.48,0.0725,0.6462,0.0602,-0.5528
2019,26379.59,23346.24,28645.26,22686.22,28538.44,0.2234,0.2627,0.227,-0.0291
2018,25046.86,24824.01,26828.39,21792.2,23327.46,-0.0563,0.2311,0.0807,-0.1391
2017,21750.2,19881.76,24837.51,19732.4,24719.22,0.2508,0.2587,0.2493,-0.0076
2016,17927.11,17148.94,19974.62,15660.18,19762.6,0.1342,0.2755,0.1648,-0.0951
2015,17587.03,17832.99,18312.39,15666.44,17425.03,-0.0223,0.1689,0.0269,-0.1383
2014,16777.69,16441.35,18053.71,15372.8,17823.07,0.0752,0.1744,0.0981,-0.0695
2013,15009.52,13412.55,16576.66,13328.85,16576.66,0.265,0.2437,0.2359,-0.0063
2012,12966.44,12397.38,13610.15,12101.46,13104.14,0.0726,0.1247,0.0978,-0.0245
2011,11957.57,11670.75,12810.54,10655.3,12217.56,0.0553,0.2023,0.0977,-0.0953
2010,10668.58,10583.96,11585.38,9686.48,11577.51,0.1102,0.196,0.0946,-0.0927
2009,8885.65,9034.69,10548.51,6547.05,10428.05,0.1882,0.6112,0.1676,-0.38
2008,11244.06,13043.96,13058.2,7552.29,8776.39,-0.3384,0.729,0.0011,-0.7272
2007,13178.26,12474.52,14164.53,12050.41,13264.82,0.0643,0.1754,0.1355,-0.0352
2006,11409.78,10847.41,12510.57,10667.39,12463.15,0.1629,0.1728,0.1533,-0.0169
2005,10546.66,10729.43,10940.55,10012.36,10717.5,-0.0061,0.0927,0.0197,-0.0716
2004,10315.51,10409.85,10854.54,9749.99,10783.01,0.0315,0.1133,0.0427,-0.0677
2003,9006.64,8607.52,10453.92,7524.06,10453.92,0.2532,0.3894,0.2145,-0.144
2002,9214.85,10073.4,10635.25,7286.27,8341.63,-0.1676,0.4596,0.0558,-0.3825
2001,10199.29,10646.15,11337.92,8235.81,10021.57,-0.071,0.3767,0.065,-0.2927
2000,10729.38,11357.51,11722.98,9796.03,10787.99,-0.0617,0.1967,0.0322,-0.1594
1999,10481.56,9184.27,11497.12,9120.67,11497.12,0.2522,0.2606,0.2518,-0.007
1998,8630.76,7965,9374.27,7539.07,9181.43,0.161,0.2434,0.1769,-0.0565
1997,7447.01,6442.49,8259.3,6391.7,7908.3,0.2264,0.2922,0.282,-0.0079
1996,5739.63,5177.45,6560.91,5032.94,6448.27,0.2601,0.3036,0.2672,-0.0287
1995,4494.28,3838.48,5216.47,3832.08,5117.12,0.3345,0.3613,0.359,-0.0017
1994,3794.22,3756.6,3978.36,3593.35,3834.44,0.0214,0.1071,0.059,-0.0454
1993,3524.92,3309.2,3794.33,3242,3754.09,0.1372,0.1704,0.1466,-0.0207
1992,3284.08,3172.4,3413.2,3136.6,3301.11,0.0417,0.0882,0.0759,-0.0114
1991,2929.04,2610.64,3168.83,2470.3,3168.83,0.2032,0.2828,0.2138,-0.0568
1990,2679.45,2810.15,2999.75,2365.1,2633.66,-0.0434,0.2683,0.0675,-0.1882
1989,2510.33,2144.64,2791.41,2144.64,2753.2,0.2696,0.3016,0.3016,0
1988,2061.48,2015.25,2183.5,1879.14,2168.57,0.1185,0.162,0.0835,-0.0724
1987,2277.53,1927.31,2722.42,1738.74,1938.83,0.0226,0.5657,0.4125,-0.1085
1986,1793.1,1537.73,1955.57,1502.29,1895.95,0.2258,0.3017,0.2717,-0.0236
1985,1327.99,1198.87,1553.1,1184.96,1546.67,0.2766,0.3107,0.2955,-0.0117
1984,1178.59,1252.74,1286.64,1086.57,1211.57,-0.0374,0.1841,0.0271,-0.1529
1983,1190.78,1027.04,1287.2,1027.04,1258.64,0.2027,0.2533,0.2533,0
1982,884.53,882.52,1070.55,776.92,1046.54,0.196,0.3779,0.2131,-0.1359
1981,932.95,972.78,1024.05,824.01,875,-0.0923,0.2428,0.0527,-0.1805
1980,891.14,824.57,1000.17,759.13,963.99,0.1493,0.3175,0.213,-0.0862
1979,844.38,811.42,897.61,796.67,838.74,0.0419,0.1267,0.1062,-0.0185
1978,821.13,817.74,907.74,742.12,805.01,-0.0315,0.2232,0.1101,-0.1019
1977,894.37,999.75,999.75,800.85,831.17,-0.1727,0.2484,0,-0.2484
1976,975.2,858.71,1014.79,858.71,1004.65,0.1786,0.1818,0.1818,0
1975,802.89,632.04,881.81,632.04,852.41,0.3832,0.3952,0.3952,0
1974,759.13,855.32,891.66,577.6,616.24,-0.2757,0.5437,0.0425,-0.4808
1973,924.07,1031.68,1051.7,788.31,850.86,-0.1658,0.3341,0.0194,-0.3087
1972,950.08,889.3,1036.27,889.15,1020.02,0.1458,0.1655,0.1653,-0.0002
1971,884.87,830.57,950.82,797.97,890.2,0.0611,0.1915,0.1448,-0.0409
1970,753.12,809.2,842,631.16,838.92,0.0482,0.3341,0.0405,-0.2821
1969,875.72,947.73,968.85,769.93,800.36,-0.1519,0.2584,0.0223,-0.2309
1968,903.96,906.84,985.21,825.13,943.75,0.0427,0.194,0.0864,-0.099
1967,879.48,786.41,943.08,786.41,905.11,0.152,0.1992,0.1992,0
1966,872.78,968.54,995.15,744.32,785.69,-0.1894,0.337,0.0275,-0.3012
1965,910.7,869.78,969.26,840.59,969.26,0.1088,0.1531,0.1144,-0.0347
1964,834.09,766.08,891.71,766.08,874.13,0.1457,0.164,0.164,0
1963,714.69,646.79,767.21,646.79,762.95,0.17,0.1862,0.1862,0
1962,639.14,724.71,726.01,535.76,652.1,-0.1081,0.3551,0.0018,-0.3527
1961,691.74,610.25,734.91,610.25,731.14,0.1871,0.2043,0.2043,0
1960,618.02,679.06,685.47,566.05,615.89,-0.0934,0.211,0.0094,-0.1996
1959,632.57,587.59,679.36,574.46,679.36,0.164,0.1826,0.1562,-0.0229
1958,491.26,439.27,583.65,436.89,583.65,0.3396,0.3359,0.3287,-0.0054
1957,476.07,496.03,520.77,419.79,435.69,-0.1277,0.2405,0.0499,-0.1816
1956,493.21,485.78,521.05,462.35,499.47,0.0227,0.127,0.0726,-0.0507
1955,442.69,408.89,488.4,388.2,488.4,0.2077,0.2581,0.1945,-0.0533
1954,334.34,282.89,404.39,279.87,404.39,0.4396,0.4449,0.4295,-0.0108
1953,275.84,292.14,293.79,255.49,280.9,-0.0377,0.1499,0.0056,-0.1434
1952,270.35,269.86,292,256.35,291.9,0.0842,0.1391,0.082,-0.0527
1951,257.41,239.92,276.37,238.99,269.23,0.1437,0.1564,0.1519,-0.0039
1950,216.28,198.89,235.47,196.81,235.41,0.1763,0.1964,0.1839,-0.0106
1949,179.67,175.03,200.52,161.6,200.13,0.1288,0.2408,0.1456,-0.0831
1948,179.78,181.04,193.16,165.39,177.3,-0.0213,0.1679,0.0669,-0.0946
1947,177.48,176.39,186.85,163.21,181.16,0.0223,0.1448,0.0593,-0.0808
1946,191.52,191.66,212.5,163.12,177.2,-0.0814,0.3027,0.1087,-0.175
1945,169.66,152.58,195.82,151.35,192.91,0.2665,0.2938,0.2834,-0.0081
1944,143.32,135.92,152.53,134.22,152.32,0.1209,0.1364,0.1222,-0.0127
1943,134.92,119.93,145.82,119.26,135.89,0.1381,0.2227,0.2159,-0.0056
1942,107.15,112.77,119.71,92.92,119.4,0.0761,0.2883,0.0615,-0.2136
1941,121.93,130.57,133.59,106.34,110.96,-0.1538,0.2563,0.0231,-0.2279
1940,134.64,151.43,152.8,111.84,131.13,-0.1272,0.3662,0.009,-0.354
1939,142.57,153.64,155.92,121.44,150.24,-0.0292,0.2839,0.0148,-0.2652
1938,132.36,120.57,158.41,98.95,154.76,0.2806,0.6009,0.3138,-0.2185
1937,166.45,178.52,194.4,113.64,120.85,-0.3282,0.7107,0.089,-0.5709
1936,162.07,144.13,184.9,143.11,179.9,0.2482,0.292,0.2829,-0.0071
1935,120.35,104.51,148.44,96.71,144.13,0.3853,0.5349,0.4203,-0.0807
1934,98.16,100.36,110.74,85.51,104.04,0.0414,0.2951,0.1034,-0.1737
1933,84.5,59.29,108.67,50.16,99.9,0.6669,1.1665,0.8329,-0.182
1932,64.53,74.62,88.78,41.22,59.93,-0.2307,1.1538,0.1898,-0.8103
1931,138.6,169.84,194.36,73.79,77.9,-0.5267,1.634,0.1444,-1.3017
1930,236.04,244.2,294.07,157.51,164.58,-0.3377,0.867,0.2042,-0.5504
1929,313.54,307.01,381.17,198.69,248.48,-0.1717,0.9184,0.2416,-0.5452
1928,226.17,203.35,300,191.33,300,0.4948,0.568,0.4753,-0.0628
1927,176.07,155.16,200.93,152.73,200.7,0.2767,0.3156,0.295,-0.0159
1926,153,131.08,168.14,133.2,157.2,0.0405,0.2623,0.2827,0.0159
1925,134.4,121.25,159.39,115,151.08,0.2537,0.386,0.3146,-0.0543
1924,99.65,95.65,120.51,88.33,120.51,0.2616,0.3643,0.2599,-0.0829
1923,94.87,98.77,105.38,85.91,95.52,-0.027,0.2266,0.0669,-0.1497
1922,93.24,78.91,102.76,78.59,98.17,0.215,0.3075,0.3022,-0.0041
1921,73.39,72.67,81.5,63.9,80.8,0.123,0.2754,0.1215,-0.1372
1920,90.01,107.23,108.85,66.75,71.95,-0.329,0.6307,0.0151,-0.6064
1919,99.79,82.6,119.62,79.35,107.23,0.3045,0.5075,0.4482,-0.041
1918,80.97,76.68,89.07,73.38,82.2,0.1051,0.2138,0.1616,-0.045
1917,87.87,96.15,99.18,65.95,74.38,-0.2171,0.5039,0.0315,-0.4579
1916,95.27,98.81,110.15,86.42,95,-0.0419,0.2746,0.1148,-0.1434
1915,74.45,54.63,99.21,54.22,99.15,0.8149,0.8298,0.816,-0.0076
