Date,Open,High,Low,Close,TickVolume,EMA12,EMA26,SMA20,SMA200,MidPrice,TypicalPrice,Range,Trend,Return,R_CloToClo,Diff-20,Diff-200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,Volatility_20,TrueRange,ATR
2012-01-01,1257.9,1257.9,1257.9,1257.9,1,1251.97,1242.96,1242.6,1.7976931348623157e+308,1257.9,1257.9,0.0,0.0,0.0,,15.300000000000182,-1.7976931348623157e+308,,0.0,0.0,0.0,,,,,0.0,
2012-01-03,1282.8,1284.7,1275.2,1276.9,3077,1255.8,1245.47,1244.66,1.7976931348623157e+308,1279.95,1278.9333333333334,9.5,-5.899999999999864,-0.004599314000623529,0.01510453931155098,38.13999999999987,-1.7976931348623157e+308,,1.515669515669515,0.30313390313390304,1.212535612535612,,,,,26.799999999999955,
2012-01-04,1277.1,1279.2,1267.4,1276.9,4368,1259.05,1247.8,1245.82,1.7976931348623157e+308,1273.3000000000002,1274.5000000000002,11.799999999999955,-0.1999999999998181,-0.00015660480776745605,0.0,31.279999999999973,-1.7976931348623157e+308,,2.6858872898760637,0.7796845804823352,1.9062027093937286,,,,,11.799999999999955,
2012-01-05,1276.6,1282.4,1264.5,1277.9,5044,1261.95,1250.03,1246.86,1.7976931348623157e+308,1273.45,1274.9333333333334,17.90000000000009,1.300000000000182,0.0010183299389003463,0.0007831466833738698,29.74000000000001,-1.7976931348623157e+308,,3.651888254968071,1.3541253153794826,2.297762939588589,,,,,17.90000000000009,
2012-01-06,1278.0,1285.9,1271.4,1278.9,4422,1264.56,1252.17,1249.02,1.7976931348623157e+308,1278.65,1278.7333333333333,14.5,0.900000000000091,0.0007042253521127472,0.0007825338445888175,28.980000000000018,-1.7976931348623157e+308,,4.446881737533204,1.972676599810227,2.4742051377229766,,,,,14.5,
2012-01-08,1278.6,1278.6,1272.2,1273.9,121,1266.0,1253.78,1251.39,1.7976931348623157e+308,1275.4,1274.9,6.399999999999864,-4.699999999999818,-0.0036758955107147025,-0.003909609820939908,27.20999999999981,-1.7976931348623157e+308,,4.620202765325985,2.5021818329133785,2.1180209324126062,,,,,6.7000000000000455,
2012-01-09,1274.1,1282.1,1271.9,1281.7,4827,1268.41,1255.85,1254.84,1.7976931348623157e+308,1277.0,1278.5666666666666,10.199999999999818,7.600000000000136,0.005964994898359734,0.006122929586309667,19.25999999999999,-1.7976931348623157e+308,,5.325565932225572,3.0668586527758173,2.258707279449755,,,,,10.199999999999818,
2012-01-10,1281.6,1296.4,1281.6,1288.9,3882,1271.56,1258.3,1258.29,1.7976931348623157e+308,1289.0,1288.9666666666667,14.800000000000182,7.300000000000182,0.005696004993757945,0.005617539205742483,23.309999999999945,-1.7976931348623157e+308,,6.391869656352355,3.731860853491125,2.6600088028612303,,,,,14.800000000000182,
2012-01-11,1289.1,1293.7,1283.6,1291.9,4278,1274.69,1260.79,1261.99,1.7976931348623157e+308,1288.65,1289.7333333333333,10.100000000000136,2.800000000000182,0.0021720580249788087,0.002327566141671289,27.1099999999999,-1.7976931348623157e+308,,7.393767221906046,4.46424212717411,2.929525094731936,,,,,10.100000000000136,
2012-01-12,1291.7,1301.7,1285.2,1296.3,4083,1278.02,1263.42,1265.94,1.7976931348623157e+308,1293.45,1294.3999999999999,16.5,4.599999999999909,0.003561198420685847,0.0034058363650435464,25.75999999999999,-1.7976931348623157e+308,,8.445467397518087,5.2604871812429055,3.1849802162751812,,,,,16.5,
